,Address:,Architects:,Building completed,Demolished,Name of Building:,Notes:,Type of Building:
239,1482 Queen Street West,,1892,,,Initially a 6-unit commercial block owned by James G. Macdonell.,City Blocks
240,0 Rusholme Road,,,,,,City Blocks
241,0 Spadina Avenue,,,,,,City Blocks
242,0 St. George Street,"Brown and Storey Archts. (firm)
Garwood-Jones Van Nostrand Hanson",1996/97,,St. George Street,,City Blocks
243,0 University Avenue,Lyle John,,,Federal Avenue,"Proposed scheme to create a grand boulevard in the Beaux-arts tradition.  It was envisioned as a wide thoroughfare between Bay and York Streets, leading from Union Station to Queen's Park.  SEE ALSO:  University Avenue under a ""Building Name"" search.",City Blocks
244,0 Waterfront Area,"HOK / Urbana Architects (firm)
Page + Steele Inc. Archts & Planrs",,,CityPlace,"A proposed development comprising over 20 residential towers, an elementary school, parks, bike path, jogging trails, etc.  The first tower  is to be designed by Page + Steele Architects.  First of the series of public artworks (the willow leaf sculpture)  installed is called Orenda.",City Blocks
245,150 Borough Drive,"Bregman + Hamann Architects
Moriyama & Teshima (firm)",1973,,Scarborough Civic Centre,SEE ALSO:  Scarborough Town Centre - a shopping complex across the street at 300 Borough Drive.,City Halls
246,0 Burnhamthorpe Rd.,Jones & Kirkland Archts. (firm),1987,,Mississauga Civic Centre,,City Halls
247,850 Coxwell Avenue,Carruthers Shaw & Partners Ltd.,,,East York Civic Centre,,City Halls
248,2700 Eglinton Avenue West,Shore & Moffatt (firm),,,York Civic Centre,,City Halls
249,103 Front Street East,"Lane Henry
Siddall John
Stewart & Strickland (firm)
Thomas William",1844-1845,,City Hall - 2nd,"Now known as the South St. Lawrence Market / Market Gallery and occupies no. 91 Front Street East.   Built 1844-1845 by Henry Bower Lane.  Rebuilt in 1851 by William Thomas (with John. G. Howard) to include shops in the wings.  Stewart & Strickland rebuilt the shops in the east wing in 1876.  The building was turned into a much larger market (by architect John Wilson Sidall)  c1901, since the Third City Hall was completed at 60 Queen Street West in 1898.",City Halls
250,157 King Street East,"Arthur Eric
Thomas William",1850,,St. Lawrence Hall,Completed in 1850 (architect William Thomas);  Restored in 1967 (architect Eric Arthur).,City Halls
251,60 Queen Street West,Lennox Edward,1889-1899,,City Hall - 3rd,,City Halls
252,100 Queen Street West,"NORR Partnership Ltd. (firm)
Parkin John B.
Revell Viljo",,,City Hall,,City Halls
253,1 Bloor Street West,,,,Stollery's,,Clothing Stores
254,25 Bloor Street West,,,,Zoe,,Clothing Stores
255,50 Bloor Street West,Adamson Associates (firm),,,Holt Renfrew,,Clothing Stores
256,86 Bloor Street West,Kuwabara Payne McKenna Blumberg (firm),1991,,Nicolas Means Wear,,Clothing Stores
257,110 Bloor Street West,"Kuwabara Payne McKenna Blumberg (firm)
Li Daniel",1986-1995,,Marc Laurent,,Clothing Stores
258,110 Bloor Street West,Taylor Hariri Pontarini (firm),c1999,,Nike Toronto Flagship Store,,Clothing Stores
259,157 Bloor Street West,"Adams Shary
Miller George",1912,,Club Monaco,Formerly the Lillian Massey Dept. of Household Science. Architect was George M. Miller,Clothing Stores
260,95 Cumberland Street,,,,Stavros Sartoriale,,Clothing Stores
261,133 King Street East,Langley & Burke (firm),1887-1889,,Army & Navy Clothing Store,Originally occupied street nos. 133-135.  SEE ALSO no. 135 king Street East.,Clothing Stores
262,720 King Street West,,,,,Alfred Sung / Monaco Group Showroom,Clothing Stores
263,355 King's College Circle,II BY IV Design (firm),,,Indian Motorcycle Clothing Co.,Also site of the Indian Motorcycle cafe & Lounge.,Clothing Stores
264,175 Bathurst Street,McCaw & Lennox (firm),1876,,Occident Hall,"Originally a Masonic club, now operates as the ""Big Bop"" night club / concert hall.",Clubhouses
265,2350 Bayview Avenue,"Kuwabara Payne McKenna Blumberg (firm)
Webb Zerafa Menkes Housden (firm)",1972,,Granite Club,,Clubhouses
266,0 Beech Avenue,,1905,1936,Balmy Beach Club,,Clubhouses
267,355 College Street,,,,355  Club,"In the 1930s, the three-story building was owned by the  Universal Negro Improvement Association.",Clubhouses
268,491 College Street,Edwards & Saunders (firm),1910,,Freemason's Hall,"Became the Latvian Hall in 1964-65.  Now houses a credit union, a library and a fraternity.",Clubhouses
269,568 Dupont Street,Langley Charles,1921,,Queen's Club,Built originally as the Toronto Fugure Skating Club's first permanent home.,Clubhouses
270,0 Eastern Avenue,,,,Para-Dice Riders Motorcycle Club,,Clubhouses
271,1 Eglinton Avenue East,Coon Burwell,,,York Masonic Temple,,Clubhouses
272,117 Eglinton Avenue East,,,,Shark City Athletic Club,,Clubhouses
273,14 Elm Street,"Edwards & Webster (firm)
Sproatt & Rolph (firm)",1891,,Arts & Letters Club,"Originally St. George's Hall,  (Edwards & Webster, 1891).   Interior remodelled in 1920 by Sproatt & Rolph.",Clubhouses
274,18 Elm Street,Martel Paul,,,Elmwood Club,"Originally the YMCA, Gordon & Helliwell, 1890-91.   Rear addtition by Andre Ostiguy, 1982.",Clubhouses
275,56 Elm Street,,,,Women's Christn Temperance,"Women's Christian Temperance Society.  Former site on Elm Street.  Premises moved to ""Willard Hall"" c.1911.",Clubhouses
276,0 Gerrard Street East,Burke Horwood & White (firm),1912,,Willard Hall,,Clubhouses
277,0 Gerrard Street East,,,,Vagabonds' Clubhouse,,Clubhouses
278,110 Glenrose Avenue,,,,Church (the),"Initially a church schoolhouse, but utilized in the the 1920s as an artists' studio and meeting place.",Clubhouses
279,7 Hart House Circle,Sproatt & Rolph (firm),1919,,Hart House,,Clubhouses
280,35 Hazelton Avenue,,1876,,Heliconian Club,"Originally the Olivet Congregational Church.  Used as a schoolhouse and other purposes until 1923, when it was bought by the Toronto Heliconian Club (formed 1909).",Clubhouses
281,115 King Street East,Harper George,1893,1938,Oak Hall,,Clubhouses
282,110 King Street West,Grant & Dick (firm),1874-1875,1932,United Empire Club,,Clubhouses
283,0 Kingston Road,Darling & Pearson (firm),1895,1910 fire,Toronto Hunt Club,,Clubhouses
284,0 Kintyre Avenue,,,,Satan's Choice Headquarters,,Clubhouses
285,21 McGill Street,"Knowles Edward
Smeaton Gordon",,,21 McGill,Formerly a YMCA building.,Clubhouses
286,23 Prince Arthur Avenue,,,,Women's Art Assn. of Canada,The Art Club formed in 1886.  It bought two adjacent properties on Prince Arthur in 1916.,Clubhouses
287,0 Queen Street East,Lennox Edward,1885,,Victoria Hall,"Built by E.J. Lennox for the Orange Association, now demolished.",Clubhouses
288,441 Queen Street West,Langley & Burke (firm),1886,,Oddfellow's Hall,Also formerly the Delvaney Bros. Dry Goods Store,Clubhouses
289,25 Severn Street,Smith Eden,1913,,Studio Building,"Built in 1913-1914 by Lawren Harris and Dr. James MacCallum for Canadian artists, the Studio Building has become synonymous with the Group of Seven.  It was purchased from Lawren Harris in 1948 by artist Gordon MacNamara.",Clubhouses
290,25 St. Clair Avenue West,"George, Moorehouse & King (firm)",,,Badminton & Raquet Club of Toronto,"Originally the Toronto and York radial railway Company, and then the Deer park Carhouse and Shops.  The Club purchased part of the site and buildings in 1924.  They sold the Yonge Street footage, and access to the Club is now by a private driveway from St. Clair Avenue West.",Clubhouses
291,135 St. George Street,Roberts David Senior,1889-1892,,York Club,Originally the George Gooderham house.  It was sold to the York Club in 1909.,Clubhouses
292,141 St. George Street,Crang & Boake (firm),1984,,Royal Canadian Yacht Club,,Clubhouses
293,21 Temperance Street,,,,Sons of Temperance Hall,,Clubhouses
294,0 Toronto Island(s),Sproatt & Rolph (firm),,,Royal Canadian Yacht Club,,Clubhouses
295,18 Toronto Street,"Cumberland & Storm (firm)
Kauffman William",,1962,Masonic Hall,"Cumberland & Storm may have designed the furniture.  Purchased by the Canada Permanent Mortgage company in 1876. By 1901 the space was converted to offices. In 1930, the building was taken over by the Excelsior Life Company,  was demolished in 1964-1965 and replaced by an office tower.",Clubhouses
296,382 University Avenue,"Mathers & Haldenby (firm)
Wilkes F. Hilton",1929,,University Club of Toronto,,Clubhouses
297,426 University Avenue,,,,Royal Canadian Military Institute,Foundeed in 1890 as a club for army officers garrisoned in Toronto.,Clubhouses
298,103 Victoria Street,,,,YMCA Red Triangle Club,Formerly 23 Queen Street East?  Addition in 1918 necessitated address change?,Clubhouses
299,26 Austin Crescent,,1925,,,Converted into a two-room gust house during the Depression.   SEE ALSO:  the house a the same address.,Coach Houses
300,41 Castle Frank Road,,,,,,Coach Houses
301,146 Crescent Road,,,,,,Coach Houses
302,162 Crescent Road,,,,,,Coach Houses
303,0 Glengrove Avenue,,,,,,Coach Houses
304,7 Highland Avenue,"Grierson & Walker (firm)
Hough Michael",,,,Formerly a 3-car garage with a chauffer's residence above.  Remodelled into a home for the Firstbrook family.,Coach Houses
305,34 Long Crescent,,,,,"Initially the Coach House / Garage belonging to Glen Stewart, the estate of A.E. ames.  SEE ALSO:  Glen Stewart at 45 Glen Stewart Cres.",Coach Houses
306,78 Lowther Avenue,,,,,,Coach Houses
307,78 Spadina Road,,c1915,,,,Coach Houses
308,38 Summerhill Gardens,,,,Summer Hill Coach House,SEE ALSO:  Summer Hill on Yonge Street.,Coach Houses
309,2 Valleyanna Drive,Fletcher Fred,,,,The former Coach House to Dr. Herbert A. Bruce's,Coach Houses
310,75 Ashtonbee Road,Ingleson A.M.,,,Centennial College,,Colleges
311,10 Asquith Avenue,,,,Victoria College Medical Sch.,,Colleges
312,951 Carlaw Avenue,"Dickinson Peter
Dunlop Farrow Inc. (firm)
Page & Steele (firm)",,,Bell Centre for Creative Commun.,Remodeled on the original Toronto Teachers College by Peter Dickinson / Page+ Steele.,Colleges
313,951 Carlaw Avenue,Dickinson Peter,,,Toronto Teachers College,SEE:  Bell Centre for Creative Communication (Centennial College) at same address.,Colleges
314,341 Church Street,Thatcher J. A.,1931,,Monetary Times Building,Built by the Monetary Times Printing Company in 1931.  Purchased from the Department of Public Works in 1966 by Ryerson Polytechnic Institute.,Colleges
315,230 College Street,"Burke Horwood & White (firm)
Kohn Shnier Architects (firm)
Sampson Barry",,,School of Architecture...,"School of Architecture, Landscape and Design,  University of Toronto. (Originally the Royal College of Dental Surgeons).",Colleges
316,4 Devonshire Place,"Thom Ron
Thompson Berwick & Pratt (firm)",1963,,Massey College,University of Toronto.,Colleges
317,40 Fairfax Crescent,Coleman & Rankin (firm),,,Memorial Collegiate,,Colleges
318,44 Gerrard Street East,Page & Steele (firm),,,Ontario College of Pharmacy,,Colleges
319,6 Hoskin Avenue,Darling & Pearson (firm),1925,,Trinity College,,Colleges
320,0 Huron Street,,1968,,Rochdale College,"Closed in 1975.  Renovated and re-opened in 1979 as the senator David A. Croll Apartments, a senior citizens' home.",Colleges
321,4700 Keele Street,Taylor Hariri Pontarini (firm),,,Schulich School of Business,,Colleges
322,146 Kendal Avenue,"Fairfield & Dubois (firm)
Moody Allan",,,George Brown College,Casa Loma Campus,Colleges
323,15 King's College Circle,"Cumberland & Storm (firm)
Dick David
Mathers & Haldenby (firm)",Oct 1858,1890-fire,University College,,Colleges
324,0 Morningside Avenue,Kuwabara Payne McKenna Blumberg (firm),,,Centennial College (Morningside),,Colleges
325,790 Queen Street West,"Darling Frank
Tully Kivas",1851,1956,Trinity College,,Colleges
326,868 Queen Street West,Smith Eden,1899,,St. Hilda's College,"Situated in Trinity-Bellwoods Park.  The first college in Canada for women.  In 1925, both St. Hilda's and Trinity College moved to the University of Toronto campus (Devonshire Place).",Colleges
327,0 Queen's Park,Young Thomas,1845,1886,King's College,Demolished to make way for the east wing of the Parliament Buildings.,Colleges
328,73 Queen's Park Crescent E.,Storm William,1892,,Victoria College,,Colleges
329,0 Sackville Street,,1890s?,,Toronto School of Medicine,,Colleges
330,41 Spruce Street,,1871,,Trinity College Medical Sch.,"Trinity College Medical School.  Functioned as a warehouse after the college federated with the University of Toronto in 1903.  In 1979, the building was cleaned and converted into four dwelling units. Historically designated.",Colleges
331,59 St. George Street,Chapman & McGiffin (firm),1915,,Knox College,University of Toronto,Colleges
332,100 St. George Street,,1961,,Sidney Smith Hall,,Colleges
333,119 St. George Street,"Dick David
Fong Steven
Kuwabara Payne McKenna Blumberg (firm)
Myers Barton",1992,,Woodsworth College,"Originally known the ""MacArthur House"", a family home built for Alexander MacArthur, designed by David B. Dick in 1891-1892.  Officer's Quarters for the Canadian Officer Training Corps. were erected alongside it in 1939-1941.  Woodsworth College expanded in 1991-1992 and included the neighbouring houses at nos.123 and 121 St. George Street.",Colleges
334,289 Sumach Street,Smith & Gemmell (firm),1890,,Ontario Medical College for Women,The forerunner of Women's College Hospital.  The building is now a 10-unit condominium.,Colleges
335,55 Danforth Avenue,"Missailidis Maria
Price G.F.W.",1921,,Prince Edward Viaduct Public Lavatory,"Public lavatory, built in 1921 was closed in 1988.  Was designated as heritage property.",Comfort Stations
336,0 Queen Street East,,1912-1913,,,"Two underground public lavatories built on the southwest corner of Parliament and Queen, in front of the J.F. Brown Company.  The company successfully sued the city (with the case going to the Supreme Court of Canada) for depreciation to property value.",Comfort Stations
337,0 Queen Street West,,1906,c1940s,,,Comfort Stations
338,0 Toronto Street,,1896,,Temple of Convenience,,Comfort Stations
339,140 Antibes Drive,Teeple Stephen,feb. 1999,,Antibes Community Centre,,Community Centres
340,260 Augusta Avenue,,,,St. Stephen's Community House,,Community Centres
341,0 Bathurst Street,Ferguson & Ferguson (firm),c1992,,Hinder Park Pavilion,,Community Centres
342,91 Bellevue Avenue,Gregg William,1887,,St. Stephen's Community House,"Initially the home of Reverend Alexander Gilray.  In 1916, the Nathanael Institute occupied the house.  Became St. Stephen's Community House in 1962.",Community Centres
343,275 Broadview Avenue,Burke Horwood & White (firm),1911,yes. date?,YMCA - Broadview,,Community Centres
344,958 Broadview Avenue,,c1891,,Estonian House,Initailly built as the Chester Public School 1981-1959.,Community Centres
345,1120 Broadview Avenue,Reuber Paul,c1991,,Massey Centre for Women,,Community Centres
346,325 Burnhamthorpe Rd.,Moriyama & Teshima (firm),,,YMCA - Mississauga,,Community Centres
347,0 Canadian Road,,,,Greek Community Centre,,Community Centres
348,373 Cedarvale Avenue,Markson Jerome,,,Cedarvale Park Community Building,,Community Centres
349,89 Church Avenue (NY),Kuwabara Payne McKenna Blumberg (firm),Sept. 1998,,Mitchell Field Community Centre,,Community Centres
350,36 College Street,Burke Horwood & White (firm),,,YMCA - Central no.1,Occupied nos. 36-40 College Street.  The cornerstone and time capsule were moved and incorporated into the foundation of the YMCA of Metropoilitan Toronto (1984) at the no. 20 Grosvenor Street entrance.,Community Centres
351,931 College Street,"Brook Carruthers Shaw (firm)
Burke Horwood & White (firm)",1911,,West End YMCA no.2,"First ""West End"" YMCA was located at Queen Street West and Dovercourt - built 1889 by Gordon & Helliwell.",Community Centres
352,212 Cowan Avenue,Darling & Pearson (firm),1897-1898,,Masaryk Hall,"Initially built for the Parkdale Curling Club. Changed to the Pavlova Roller Rink, c1907.  Purchased in 1944 by the Masaryk Memorial Institute, alterations were made, and used for recreational, social, cultural and educational activities.   May be listed under another address of no. 450 Scarborough Golf Club Road.",Community Centres
353,155 Crawford Street,"Levitt Goodman Architects (firm)
Oleson Worland Architects (firm)",1950s,,Trinity Community Recreation Centre,Located in Trinity Bellwoods Park.,Community Centres
